,Title,students count,course duration,instructor,lessons count,level,student projects,engaging,clarity,quality,reviews,completion rate,overall rating,
0,YouTube for Beginners - How to Start & Grow Your YouTube Channel,18899,249,Ali Abdaal,28,Beginner level,238,239,220,214,673,0.30,5.00,
1,Productivity Masterclass - Principles and Tools to Boost Your Productivity,92927,115,Ali Abdaal,16,Beginner level,270,2781,2466,2463,7710,0.63,5.00,
2,iPhone Photography: How to Take Pro Photos On Your iPhone,164737,55,Dale McManus,22,Senior level,563,7099,6758,6046,19903,0.51,5.00,
3,Video Editing with Adobe Premiere Pro for Beginners,114215,201,Jordy Vandeput,19,Beginner level,245,2203,2121,1994,6318,0.18,5.00,
4,Notion Masterclass: Maximise Your Productivity & Organisation,8608,105,Ali Abdaal,24,Beginner level,28,82,78,75,235,0.87,5.00,
5,Adobe Illustrator CC Ð Essentials Training,98043,420,Daniel Scott,42,Beginner level,3,3094,3038,2915,9047,0.57,5.00,
6,Intro to Procreate: Illustrating on the iPad (UPDATED for 2022),116757,117,Brooke Glaser,23,Beginner level,703,3451,3208,3097,9756,0.31,4.00,
7,Fundamentals of DSLR Photography,124859,79,Photo Essentials x Justin Bridges,12,Beginner level,309,2419,2349,2226,6994,0.13,5.00,
8,La Ciencia de Estudiar Efectivamente,2403,117,Santiago Acosta,13,Beginner level,9,86,81,77,244,0.78,5.00,
9,Graphic Design Basics: Core Principles for Visual Design,164054,36,Ellen Lupton,9,Senior level,679,2247,2098,1891,6236,0.10,5.00,
10,Spanish for Beginners. The complete Method. Level 1.,33359,227,Peter Hanley,27,Beginner level,0,374,354,323,1051,0.86,5.00,
11,Procreate for Beginners: Learn the Basics & Sell Your Artwork,51647,110,Cat Coquillette,8,Beginner level,694,913,843,842,2598,0.38,5.00,
12,Figma UI UX Design Essentials,14966,692,Daniel Scott,111,Beginner level,384,182,180,171,533,0.24,4.00,
13,"Hand Sewing Basics: Work Wonders with Fabric, Needle & Thread",11316,68,Bernadette Banner,10,Beginner level,46,295,282,257,834,0.15,4.00,
14,Learn Anything With Flashcards - The Ultimate Guide To Anki,33645,318,Ali Abdaal,49,Senior level,3,688,640,628,1956,0.59,4.00,
15,"YouTube Success: Script, Shoot & Edit with MKBHD",69396,73,Marques Brownlee,11,Senior level,190,833,825,785,2443,0.87,5.00,
16,Document Your Life: 4 Methods to Live More Intentionally,24961,79,Nathaniel Drew,10,Senior level,41,484,441,435,1360,0.40,4.00,
17,Basic Skills / Getting Started with Drawing,100814,261,Brent Eviston,16,Senior level,813,1047,953,895,2895,0.36,3.00,
18,How to Study for Exams - An Evidence-Based Masterclass,67121,270,Ali Abdaal,37,Senior level,20,1560,1502,1490,4552,0.52,4.00,
19,Interior Design Basics: Simple Steps to Your Perfect Space,76428,87,Lauren Cox,11,Beginner level,116,902,863,811,2576,0.40,5.00,
20,Blooms & Shrooms: Draw Fun & Funky Art in Procreate,3486,169,Cat Coquillette,14,Beginner level,352,125,125,113,363,0.60,2.00,
21,Adobe Photoshop CC Ð Essentials Training Course,92646,596,Daniel Scott,90,Beginner level,2,2317,2317,2223,6857,0.22,2.00,
22,Mastering Productivity: Create a Custom System that Works,139929,65,Thomas Frank,10,Senior level,171,3725,3672,3625,11022,0.33,4.00,
23,Digital Illustration: Learn to Use Procreate,178131,66,Jarom Vogel,10,Senior level,944,1190,1090,985,3265,0.12,3.00,
24,How to be Happier - Stoicism Masterclass,28978,87,Ali Abdaal,15,Senior level,8,586,541,525,1652,0.47,3.00,
25,How to Organise your Workflow to Maximise Productivity,35114,158,Ali Abdaal,26,Senior level,7,511,489,466,1466,0.63,2.00,
26,Social Media Content Creation in Canva: From Beginner to Advanced,15187,293,Maggie Stara,38,Senior level,56,133,128,127,388,0.59,3.00,
27,Social Media Marketing: Top Tips for Growing Your Followers & Going Viral,88701,66,Cat Coquillette,11,Senior level,268,998,921,900,2819,0.46,5.00,
28,Advanced Video Editing with Adobe Premiere Pro,35170,216,Jordy Vandeput,34,Senior level,67,669,636,581,1886,0.76,5.00,
29,Learn Adobe After Effects CC for Beginners,39399,184,Jordy Vandeput,18,Senior level,66,1537,1427,1327,4291,0.09,1.00,
30,Find Your Style: Five Exercises to Unlock Your Creative Identity,56645,72,Andy J. Pizza,13,Senior level,238,765,680,670,2115,0.51,1.00,
31,Learn to Draw: Daily Practices to Improve Your Drawing Skills,91129,83,Gabrielle Brickey,20,Senior level,383,641,613,541,1795,0.44,1.00,
32,Drawing Seamless Patterns in Procreate + Professional Surface Design Tips,17315,85,Cat Coquillette,13,Senior level,966,792,773,735,2300,0.96,5.00,
33,Video Editing with Final Cut Pro X - From Beginner to YouTuber,49462,196,Ali Abdaal,34,Senior level,162,932,900,873,2705,0.28,3.00,
34,The Beginner's Guide to Adobe After Effects,22683,359,Jake Bartlett,34,Senior level,146,962,914,894,2770,0.71,5.00,
35,Adobe InDesign CC - Essentials Training Course,36641,406,Daniel Scott,79,Senior level,836,990,987,941,2918,0.52,3.00,
36,Copywriting For Beginners: How To Write Web Copy That Sells Without Being Cheesy,34341,62,Jesse Forrest,17,Senior level,124,782,765,718,2265,0.01,5.00,
